Rndrng_Prvdr_State_Abrvtn,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount
AL,2491,12871090,2104,11564500,387,1171044
AK,663,3367444,549,3016388,114,344736
AR,2373,12149056,2009,11042380,364,1099980
AZ,4108,21492618,3556,19544692,552,1668240
CA,187725,1007115990,174128,957008862,13597,41117580
CO,1034,5127638,784,4307032,250,756756
CT,2719,14153816,2367,13009490,352,1063692
DC,2056,10285159,1637,8996952,419,1267056
DE,745,3870883,651,3575606,95,286776
FL,105020,554796546,95729,526124294,9291,28097244
GA,2516,12926156,2112,11605720,405,1223208
HI,3692,19060239,3184,17497432,508,1535940
IA,3084,15842890,2630,14452648,455,1374912
ID,566,2899939,477,2619760,89,269388
IL,5274,27170180,4455,24486512,819,2476404
IN,1830,9357238,1536,8442314,294,888804
KS,751,3934384,661,3631940,91,273672
KY,1138,5899966,986,5417682,152,460404
LA,9771,49690226,8135,44711334,1636,4947012
MA,33900,179392165,30984,170289438,2916,8817732
MD,17133,90513865,15609,85785232,1525,4610088
ME,304,1483355,222,1222402,82,246456
MI,27286,142034128,24053,132195746,3233,9777348
MN,10537,55954626,9730,53475622,807,2440620
MO,1728,9052735,1517,8339722,211,637812
MS,5735,29309290,4837,26585984,898,2715552
MT,830,4201428,683,3753310,147,443268
NY,129583,680181850,116532,640457582,13051,39466728
NC,7824,40746415,6884,37832632,940,2843316
ND,97,479518,75,409910,22,66528
NE,137,694639,111,608224,26,79380
NH,238,1200758,188,1032790,50,149940
NJ,18821,102073878,17246,94785848,1575,4761540
NM,590,3010253,482,2646782,108,326592
NV,6848,35766563,6069,33352934,780,2357208
OH,14924,77138312,12342,67829800,2583,7810236
OK,2604,13293681,2183,11998226,421,1274112
OR,8361,43467279,7338,40331480,1023,3092544
PA,27711,144610451,24554,134948784,3157,9545760
RI,1432,7402616,1239,6810460,193,583128
SC,2102,10833081,1793,9851580,309,934668
SD,1526,8081001,1401,7700354,125,377748
TN,8002,40909467,6743,37058154,1259,3806460
TX,57781,297959356,49706,273181428,8076,24420564
UT,235,1174401,182,1001646,53,160020
VA,6382,34148479,5822,32000002,560,1693188
VT,857,4347276,709,3896664,148,448056
WA,25715,135711388,23390,128549608,2325,7031808
WI,7115,36780395,6165,33881466,950,2872548
WV,4671,24037269,4007,22020182,664,2007936
WY,189,950935,154,843636,35,106596
